"","target","acousticness","danceability","duration_ms","instrumentalness","loudness","speechiness","valence","key",".fitted",".resid",".std.resid",".hat",".sigma",".cooksd"
"1","1",0.0102,0.833,204600,0.0219,-8.795,0.431,0.286,"D",0.901592379091782,0.455176381068175,0.45677450735572,0.00698519975756909,1.11746555449438,7.73189393504451e-05
"2","1",0.199,0.743,326933,0.00611,-10.401,0.0794,0.588,"Other",0.637978819528725,0.948103574952926,0.949311959304448,0.00254419057967662,1.11731106952222,0.000145107557348718
"3","1",0.0344,0.838,185707,0.000234,-7.148,0.289,0.173,"D",0.782966737189444,0.699521357977329,0.702862869557356,0.00948568692448441,1.11740189977893,0.000267997203811706
"4","1",0.604,0.494,199413,0.51,-15.236,0.0261,0.23,"Other",0.422397212436775,1.31286644100351,1.31631869890469,0.00523844393111993,1.1171255608652,0.000723889956126635
"5","1",0.18,0.678,392893,0.512,-11.648,0.0694,0.904,"Other",0.84894623424269,0.572292622724019,0.573388865096225,0.00382007571093315,1.11743875859941,6.84932494190142e-05
"6","1",0.00479,0.804,251333,0,-6.682,0.185,0.264,"Other",0.643662006552383,0.938702855218446,0.94036663498405,0.00353544639006524,1.11731484045053,0.000197117327547135
"7","1",0.0145,0.739,241400,7.27e-06,-11.204,0.156,0.308,"Other",0.679755094612002,0.878661141357369,0.880487203329951,0.00414354328021199,1.11733916313674,0.000196837640641749
"8","1",0.0202,0.266,349667,0.664,-11.609,0.0371,0.393,"Other",0.694602711050879,0.853715685273259,0.856776844095922,0.00713298981123381,1.11734835188248,0.00031813990398074
"9","1",0.0481,0.603,202853,0,-3.626,0.347,0.398,"Other",0.635110766925758,0.952844015773934,0.955709498912408,0.00598756710829839,1.11730835071535,0.00034815956763518
"10","1",0.00208,0.836,226840,0,-7.792,0.237,0.386,"Other",0.729470305312414,0.794275289030851,0.795729694602855,0.00365218598039029,1.11737085562169,0.000136438917514588
"11","1",0.0572,0.525,358187,0.0143,-7.372,0.0548,0.524,"Other",0.532786175934773,1.12217209567956,1.12397637578962,0.00320795343194066,1.11723028190167,0.000283127245402019
"12","1",0.0915,0.753,324880,0.00348,-8.62,0.0494,0.642,"Other",0.629212222327136,0.962586809384498,0.963783080566889,0.002480908382685,1.11730489355613,0.000146925288962345
"13","1",0.253,0.603,356973,0.0619,-11.062,0.0342,0.381,"Other",0.524876178325102,1.13542317663241,1.13720496917589,0.00313117990151199,1.11722360850815,0.000285221289326077
"14","1",0.366,0.762,243270,0,-12.686,0.114,0.367,"Other",0.551949107531997,1.09022881401604,1.09225226025169,0.00370165766065895,1.11724596736723,0.000302723229141741
"15","1",0.44,0.662,247288,0,-8.317,0.0793,0.351,"Other",0.353590477350446,1.4419541457004,1.44335813931838,0.00194450805854262,1.11704733523094,0.000356867957385647
"16","1",0.019,0.637,188333,0.0563,-6.637,0.163,0.317,"Other",0.535773642807571,1.11717815526744,1.11839070545391,0.00216720840398695,1.11723307623264,0.000188596479652699
"17","1",0.0239,0.603,270827,0.0451,-4.111,0.0458,0.773,"Other",0.502433458205305,1.17327922448101,1.17461008665215,0.00226476553612478,1.11720431608265,0.000225302103046221
"18","1",0.233,0.789,447907,0.00049,-12.654,0.0429,0.842,"Other",0.767593220418607,0.727317464478378,0.729729161973535,0.00659892021681243,1.11739331435772,0.000202460956692887
"19","1",0.314,0.713,195429,0,-6.702,0.241,0.783,"Other",0.608200233446619,0.997247331314506,0.998954517957529,0.00341502609804052,1.11728949348498,0.000221504701054771
"20","1",0.0242,0.735,214347,0.185,-6.914,0.0449,0.763,"Other",0.619882183843803,0.977983481515532,0.978964171475329,0.0020025222147294,1.11729831413117,0.00012328990736616
"21","1",0.000702,0.854,249253,0.308,-9.335,0.0655,0.471,"Other",0.737083880014138,0.781093567372552,0.782287482202247,0.00305003924985496,1.11737558738809,0.000109460898365703
